Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
2018
1,Mar 29,,MIN,"W,3-2",40,34,3,5,1,1,1,3,5,2,13,0,1,0,0,1,1,0,.147,.256,.324,.580,7,11,R,J.Odorizzi (73),2018
2,Mar 31,,MIN,"L,2-6",37,30,2,3,1,0,1,2,7,0,11,0,0,0,0,0,0,0,.125,.263,.281,.544,8,11,R,K.Gibson (73),2018
3,Apr 1,,MIN,"L,0-7",31,30,0,3,1,0,0,0,1,0,6,0,0,0,0,0,0,0,.117,.224,.234,.458,4,9,R,J.Berrios (86),2018
4,Apr 2,@,HOU,"L,1-6",36,33,1,6,2,0,1,1,2,0,9,1,0,0,0,0,0,0,.134,.231,.260,.491,8,10,R,C.Morton (70),2018
5,Apr 3,@,HOU,"L,6-10",41,38,6,12,3,0,2,6,2,0,13,0,0,1,1,1,1,0,.176,.255,.327,.583,8,9,R,J.Verlander (51),2018
6,Apr 4,@,HOU,"L,2-3",39,35,2,8,1,0,0,1,4,0,10,0,0,0,1,1,1,0,.185,.265,.315,.580,10,11,L,D.Keuchel (50),2018
7,Apr 5,@,NYY,"W,5-2",37,36,5,10,2,0,1,5,1,0,13,0,0,0,0,0,1,0,.199,.269,.331,.600,5,10,R,M.Tanaka (56),2018
8,Apr 6,@,NYY,"W,7-3",61,51,7,9,0,0,4,7,8,0,16,1,1,0,2,1,0,0,.195,.275,.345,.620,12,12,L,C.Sabathia (45),2018
9,Apr 7,@,NYY,"L,3-8",36,34,3,6,3,0,0,3,2,0,10,0,0,0,1,0,0,0,.193,.270,.336,.606,6,9,R,S.Gray (54),2018
10,Apr 8,@,NYY,"W,8-7",54,50,8,16,1,0,2,8,4,0,15,0,0,0,0,2,2,0,.210,.283,.353,.636,10,10,L,J.Montgomery (29),2018
11,Apr 9,,TOR,"L,1-7",39,35,1,9,0,0,1,1,3,0,11,1,0,0,1,2,0,0,.214,.287,.352,.640,11,11,L,J.Happ (64),2018
12,Apr 10,,TOR,"L,1-2",33,27,1,3,2,0,0,1,5,1,4,1,0,0,0,2,0,1,.208,.286,.342,.628,5,10,R,A.Sanchez (71),2018
13,Apr 11,,TOR,"W,5-3",38,34,5,11,4,0,0,5,3,0,11,0,0,1,0,0,0,0,.216,.292,.349,.641,9,10,R,M.Estrada (36),2018
14,Apr 13,@,BOS,"L,3-7",37,34,3,9,1,0,0,3,2,0,12,0,0,1,0,0,0,0,.220,.293,.345,.638,7,12,L,E.Rodriguez (64),2018
15,Apr 14,@,BOS,"L,3-10",35,34,3,9,3,0,1,3,1,0,9,0,0,0,0,2,0,0,.222,.292,.351,.644,5,11,R,H.Velazquez (51),2018
16,Apr 15,@,BOS,"L,1-3",33,30,1,3,1,0,0,1,3,0,14,0,0,0,0,0,1,0,.216,.286,.340,.626,5,11,L,C.Sale (65),2018
17,Apr 17,@,DET,"L,2-4",36,31,2,6,0,0,1,2,5,0,12,0,0,0,0,1,0,0,.215,.287,.337,.625,7,12,L,F.Liriano (53),2018
18,Apr 18,@,DET,"L,5-6",38,33,5,7,2,0,2,5,4,0,10,0,0,1,0,0,0,0,.215,.288,.343,.631,6,12,L,M.Boyd (68),2018
19,Apr 19,@,DET,"L,8-13",42,39,8,14,6,0,3,8,3,0,11,0,0,0,0,1,0,0,.223,.294,.367,.661,7,9,R,J.Zimmermann (43),2018
20,Apr 20,,CLE,"W,3-1",33,29,3,6,3,0,1,3,3,1,6,1,0,0,0,1,0,0,.222,.295,.369,.663,6,10,R,T.Bauer (58),2018
21,Apr 21,,CLE,"L,0-4",31,29,0,2,0,0,0,0,2,0,3,0,0,0,1,1,0,0,.216,.288,.357,.645,4,9,R,M.Clevinger (84),2018
22,Apr 22,,CLE,"L,3-7",32,32,3,6,1,0,2,3,0,0,7,0,0,0,0,1,0,0,.215,.284,.359,.643,2,10,R,C.Kluber (57),2018
23,Apr 23,,CLE,"L,1-2",34,32,1,7,1,0,0,1,2,1,11,0,0,0,0,0,1,0,.215,.284,.354,.638,6,11,R,C.Carrasco (67),2018
24,Apr 25,,TBR,"L,4-8",35,32,4,5,4,0,1,4,3,0,10,0,0,0,0,0,0,0,.213,.281,.355,.637,4,9,R,J.Faria (41),2018
25,Apr 26,,TBR,"L,5-9",42,39,5,16,1,0,2,5,1,0,9,2,0,0,0,4,1,0,.222,.289,.366,.655,10,10,R,C.Archer (36),2018
26,Apr 27,,DET,"W,6-0",33,32,6,8,2,0,3,6,1,1,5,0,0,0,0,0,1,0,.223,.288,.374,.663,3,10,R,M.Fiers (56),2018
27,Apr 28,,DET,"L,5-9",39,33,5,8,1,1,0,5,5,0,4,1,0,0,0,1,0,0,.224,.291,.373,.664,7,12,L,F.Liriano (48),2018
28,Apr 29,,DET,"W,5-3",38,32,5,8,1,0,3,5,5,0,9,1,0,0,0,0,2,1,.224,.294,.379,.673,9,9,L,D.Norris (39),2018
2018
