Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
2016
1,Apr 4,@,OAK,"W,4-3",36,33,4,7,1,1,0,2,1,0,6,2,0,0,1,0,0,2,.212,.278,.303,.581,5,9,L,R.Hill (42),2016
2,Apr 5,@,OAK,"W,5-4",40,38,5,11,0,0,2,5,2,0,7,0,0,0,0,1,0,0,.254,.303,.380,.683,8,9,R,C.Bassitt (38),2016
3,Apr 6,@,OAK,"L,1-2",35,30,1,6,1,0,0,1,4,0,6,0,0,1,0,1,0,0,.238,.297,.337,.634,7,11,R,S.Gray (68),2016
4,Apr 7,@,OAK,"W,6-1",40,38,6,10,1,0,1,6,1,0,9,0,0,1,2,0,1,0,.245,.291,.345,.637,7,10,R,K.Graveman (57),2016
5,Apr 8,,CLE,"L,1-7",32,27,1,3,0,0,1,1,4,0,9,1,0,0,0,2,0,0,.223,.284,.325,.609,4,10,R,D.Salazar (64),2016
6,Apr 9,,CLE,"W,7-3",38,35,7,10,1,0,2,6,3,1,4,0,0,0,1,0,0,0,.234,.294,.353,.647,7,10,R,C.Anderson (52),2016
7,Apr 11,@,MIN,"W,4-1",43,37,4,9,1,0,0,4,5,0,7,1,0,0,1,0,0,0,.235,.303,.340,.643,12,9,R,K.Gibson (49),2016
8,Apr 13,@,MIN,"W,3-0",35,35,3,9,2,0,1,2,0,0,8,0,0,0,0,1,0,0,.238,.298,.348,.646,5,9,R,P.Hughes (54),2016
9,Apr 14,@,MIN,"W,3-1",37,34,3,9,2,0,1,3,1,0,9,0,1,1,1,1,1,0,.241,.296,.355,.651,7,11,R,E.Santana (56),2016
10,Apr 15,@,TBR,"W,1-0",33,32,1,6,2,0,0,1,1,0,10,0,0,0,0,1,0,0,.236,.288,.345,.633,5,9,R,J.Odorizzi (74),2016
11,Apr 16,@,TBR,"L,2-7",34,33,2,7,1,0,1,2,0,0,6,1,0,0,0,1,0,0,.234,.284,.344,.628,5,11,R,E.Ramirez (67),2016
12,Apr 17,@,TBR,"L,2-3",34,32,2,5,1,0,0,2,1,0,12,1,0,0,0,0,0,0,.228,.278,.332,.609,5,10,L,M.Moore (65),2016
13,Apr 18,,LAA,"L,0-7",33,30,0,3,2,0,0,0,3,0,10,0,0,0,0,0,0,0,.219,.271,.320,.591,6,10,L,H.Santiago (80),2016
14,Apr 19,,LAA,"W,5-0",35,32,5,9,1,1,2,5,2,1,5,0,1,0,0,0,0,0,.223,.274,.337,.611,6,9,R,M.Shoemaker (56),2016
15,Apr 20,,LAA,"W,2-1",32,26,2,5,1,0,1,1,4,1,7,0,2,0,1,2,3,1,.222,.276,.337,.613,6,9,R,G.Richards (61),2016
16,Apr 21,,LAA,"L,2-3",34,30,2,5,1,0,2,2,4,0,5,0,0,0,0,0,0,2,.218,.275,.341,.616,5,11,R,J.Weaver (67),2016
17,Apr 22,,TEX,"W,5-0",35,29,5,7,4,0,0,4,4,0,4,0,1,1,1,1,0,0,.220,.278,.343,.621,6,9,L,M.Perez (39),2016
18,Apr 23,,TEX,"W,4-3",48,39,4,11,0,0,2,4,7,0,7,2,0,0,0,1,0,1,.224,.288,.349,.637,13,10,R,C.Lewis (55),2016
19,Apr 24,,TEX,"W,4-1",34,28,4,8,3,0,1,3,5,0,4,0,0,1,0,1,0,0,.227,.293,.356,.649,6,9,L,D.Holland (51),2016
20,Apr 25,@,TOR,"W,7-5",42,36,7,11,4,0,0,7,5,0,9,0,0,1,0,0,1,1,.231,.298,.359,.657,8,9,R,M.Stroman (48),2016
21,Apr 26,@,TOR,"W,10-1",44,39,10,15,3,0,3,10,3,0,5,0,0,2,1,2,0,0,.240,.304,.378,.682,7,9,R,R.Dickey (34),2016
