Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
2015
1,Apr 6,@,SEA,"L,1-4",32,29,1,4,0,0,1,1,2,0,12,1,0,0,0,2,0,0,.138,.219,.241,.460,4,9,R,F.Hernandez (78),2015
2,Apr 7,@,SEA,"W,2-0",33,32,2,5,2,0,1,2,1,0,8,0,0,0,1,1,0,0,.148,.200,.279,.479,4,9,L,J.Paxton (60),2015
3,Apr 8,@,SEA,"W,5-3",39,34,5,10,2,0,1,4,2,1,7,1,1,1,1,0,0,1,.200,.252,.337,.589,7,10,R,H.Iwakuma (39),2015
4,Apr 10,,KCR,"L,2-4",35,33,2,7,2,0,1,2,2,0,9,0,0,0,0,1,0,0,.203,.254,.344,.597,6,10,L,J.Vargas (56),2015
5,Apr 11,,KCR,"L,4-6",33,32,4,6,1,0,1,4,1,0,3,0,0,0,0,0,0,1,.200,.246,.338,.583,2,10,R,J.Guthrie (50),2015
6,Apr 12,,KCR,"L,2-9",33,30,2,5,1,0,1,1,3,0,9,0,0,0,0,1,0,1,.195,.245,.332,.577,4,12,R,Y.Ventura (58),2015
7,Apr 13,@,TEX,"W,6-3",43,38,6,12,1,0,2,6,5,0,5,0,0,0,0,0,1,0,.215,.271,.360,.631,10,11,L,R.Detwiler (32),2015
8,Apr 14,@,TEX,"L,2-8",37,32,2,7,2,0,0,2,3,0,2,1,0,1,1,1,0,0,.215,.275,.350,.625,8,12,R,N.Martinez (63),2015
9,Apr 15,@,TEX,"W,10-2",45,39,10,13,4,0,0,10,5,1,6,0,1,0,0,0,2,0,.231,.293,.361,.654,8,10,R,A.Ranaudo (19),2015
10,Apr 17,@,HOU,"W,6-3",35,31,6,6,0,1,2,6,3,0,9,0,0,1,0,1,0,0,.227,.289,.370,.659,2,11,R,R.Hernandez (59),2015
11,Apr 18,@,HOU,"L,0-4",33,30,0,3,2,0,0,0,3,0,13,0,0,0,0,0,0,0,.217,.280,.353,.633,6,11,L,D.Keuchel (72),2015
12,Apr 19,@,HOU,"L,3-4",34,34,3,8,0,0,2,3,0,0,6,0,0,0,0,0,0,1,.218,.277,.358,.635,4,11,R,S.Feldman (55),2015
13,Apr 20,,OAK,"L,3-6",37,32,3,5,1,0,0,3,5,0,7,0,0,0,2,1,1,0,.214,.276,.345,.621,7,9,R,K.Graveman (40),2015
14,Apr 21,,OAK,"W,14-1",44,39,14,15,3,0,2,11,4,1,9,0,0,1,1,0,0,0,.228,.290,.368,.657,6,11,L,D.Pomeranz (38),2015
15,Apr 22,,OAK,"L,2-9",34,31,2,4,2,0,0,2,3,0,10,0,0,0,0,0,0,0,.222,.284,.357,.641,5,10,R,S.Gray (74),2015
16,Apr 23,,OAK,"W,2-0",29,25,2,1,0,0,1,2,3,0,4,0,1,0,1,0,1,0,.213,.277,.347,.625,3,10,R,J.Chavez (65),2015
17,Apr 24,,TEX,"W,3-2",35,30,3,8,1,0,1,3,3,0,8,1,0,1,0,1,1,0,.216,.281,.350,.632,8,10,L,W.Rodriguez (55),2015
18,Apr 25,,TEX,"W,4-1",34,29,4,8,0,0,0,4,4,0,5,1,0,0,0,0,0,0,.219,.287,.347,.633,6,11,R,C.Lewis (53),2015
19,Apr 26,,TEX,"L,4-5",51,46,4,15,3,0,1,4,4,0,9,1,0,0,0,0,0,0,.227,.294,.355,.649,14,11,R,N.Martinez (58),2015
20,Apr 28,@,OAK,"L,2-6",31,30,2,6,0,0,0,2,1,0,9,0,0,0,0,1,0,1,.226,.291,.348,.639,2,9,R,S.Gray (67),2015
21,Apr 29,@,OAK,"W,6-3",37,33,6,8,1,0,1,6,3,0,11,1,0,0,0,1,0,1,.226,.293,.348,.641,4,11,R,J.Hahn (52),2015
22,Apr 30,@,OAK,"W,6-5",42,36,6,12,3,0,0,6,4,1,5,0,2,0,1,0,3,0,.232,.298,.352,.650,9,10,R,J.Chavez (39),2015
2015
23,May 1,@,SFG,"L,2-3",37,34,2,7,1,0,0,2,1,0,7,1,0,1,1,0,1,0,.231,.296,.347,.642,8,12,R,C.Heston (63),2015
24,May 2,@,SFG,"L,4-5",33,31,4,6,0,0,2,4,2,0,4,0,0,0,0,0,0,1,.229,.294,.348,.642,2,15,R,T.Hudson (67),2015
25,May 3,@,SFG,"L,0-5",32,30,0,3,0,0,0,0,2,0,6,0,0,0,1,1,0,0,.224,.289,.339,.628,5,12,R,T.Lincecum (79),2015
26,May 4,,SEA,"L,2-3",34,32,2,8,0,0,2,2,2,0,8,0,0,0,0,1,0,1,.225,.289,.343,.632,5,10,R,F.Hernandez (68),2015
27,May 5,,SEA,"W,5-4",35,31,5,8,0,0,2,5,4,1,4,0,0,0,0,1,0,0,.227,.291,.347,.638,6,10,L,J.Paxton (62),2015
28,May 6,,SEA,"W,4-3",33,31,4,7,2,1,1,4,2,0,5,0,0,0,0,1,0,0,.226,.291,.350,.641,4,11,L,R.Elias (57),2015
29,May 7,,HOU,"L,2-3",33,30,2,7,2,0,1,2,1,0,8,1,1,0,0,1,0,0,.227,.290,.352,.642,4,10,R,C.McHugh (66),2015
30,May 8,,HOU,"W,2-0",30,28,2,7,0,0,0,2,0,0,3,1,0,1,0,2,1,0,.227,.290,.349,.638,4,10,R,R.Hernandez (60),2015
31,May 9,,HOU,"L,5-6",39,36,5,10,2,0,1,5,3,1,9,0,0,0,0,1,0,0,.229,.291,.351,.642,7,10,L,D.Keuchel (47),2015
32,May 10,,HOU,"W,3-1",31,28,3,6,1,0,0,2,2,0,6,0,0,1,0,0,0,1,.229,.290,.348,.639,4,10,R,S.Feldman (57),2015
33,May 12,,COL,"W,5-2",36,34,5,10,4,0,0,5,1,0,7,1,0,0,0,0,1,0,.231,.292,.350,.642,7,11,R,K.Kendrick (60),2015
34,May 13,,COL,"W,2-1",39,35,2,8,2,0,0,2,2,1,8,0,1,1,0,0,0,0,.231,.291,.348,.639,6,12,R,J.Lyles (53),2015
35,May 15,@,BAL,"W,3-1",34,30,3,7,1,0,1,3,2,0,7,0,0,2,0,2,0,0,.231,.290,.349,.639,4,10,L,W.Chen (64),2015
36,May 16,@,BAL,"W,6-1",39,39,6,13,0,0,2,5,0,0,7,0,0,0,0,0,0,1,.234,.291,.353,.645,6,12,R,U.Jimenez (59),2015
37,May 17,@,BAL,"L,0-3",32,32,0,6,1,0,0,0,0,0,9,0,0,0,0,1,0,0,.233,.289,.350,.639,5,9,R,M.Wright (76),2015
38,May 18,@,TOR,"L,6-10",40,39,6,12,3,0,3,5,1,0,10,0,0,0,0,0,0,0,.235,.290,.358,.648,7,10,R,T.Redmond (44),2015
39,May 19,@,TOR,"W,3-2",36,32,3,6,0,0,1,3,3,0,6,0,0,1,0,1,0,0,.234,.289,.356,.645,6,10,R,A.Sanchez (56),2015
40,May 20,@,TOR,"W,4-3",39,35,4,8,3,0,1,4,3,1,7,1,0,0,0,0,1,0,.234,.289,.357,.647,8,12,R,D.Hutchison (49),2015
41,May 21,@,TOR,"L,4-8",33,31,4,5,2,0,2,4,2,0,7,0,0,0,0,1,0,0,.232,.288,.359,.646,2,11,R,R.Dickey (66),2015
42,May 22,@,BOS,"W,12-5",48,38,12,12,3,0,3,11,7,0,7,2,0,1,1,0,2,1,.235,.292,.366,.659,9,10,R,R.Porcello (22),2015
43,May 23,@,BOS,"L,3-8",36,33,3,6,3,0,0,3,3,0,5,0,0,0,0,0,0,0,.233,.291,.364,.656,6,9,R,S.Wright (58),2015
44,May 24,@,BOS,"L,1-6",31,30,1,4,1,0,0,1,1,0,4,0,0,0,0,1,0,0,.231,.289,.360,.649,3,10,L,W.Miley (71),2015
