Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
2016
1,Apr 4,@,SDP,"W,15-0",49,42,15,17,7,1,0,13,4,0,10,2,0,1,0,0,0,0,.405,.469,.619,1.088,7,16,R,T.Ross (24),2016
2,Apr 5,@,SDP,"W,3-0",35,33,3,6,2,1,0,3,2,0,10,0,0,0,1,1,1,0,.307,.369,.480,.849,5,14,R,J.Shields (53),2016
3,Apr 6,@,SDP,"W,7-0",40,36,7,11,1,1,2,7,3,0,9,0,0,1,0,1,0,0,.306,.363,.505,.867,6,14,R,A.Cashner (33),2016
4,Apr 7,@,SFG,"L,6-12",39,39,6,13,3,0,1,6,0,0,5,0,0,0,0,1,0,0,.313,.356,.500,.856,6,16,R,J.Peavy (34),2016
5,Apr 8,@,SFG,"L,2-3",40,38,2,9,1,0,0,2,2,0,5,0,0,0,0,1,1,0,.298,.340,.452,.792,8,15,R,M.Cain (54),2016
6,Apr 9,@,SFG,"W,3-2",46,41,3,10,6,0,0,3,3,1,11,2,0,0,1,0,0,0,.288,.337,.441,.778,13,16,L,M.Bumgarner (63),2016
7,Apr 10,@,SFG,"L,6-9",41,35,6,10,1,0,0,6,3,0,9,1,1,1,0,0,0,0,.288,.339,.424,.763,8,15,R,J.Cueto (39),2016
8,Apr 12,,ARI,"L,2-4",37,34,2,9,2,0,0,2,1,0,4,1,1,0,0,1,0,0,.285,.335,.413,.748,8,16,L,P.Corbin (56),2016
9,Apr 13,,ARI,"W,3-1",35,31,3,7,1,0,1,2,1,0,8,3,0,0,3,0,0,1,.280,.333,.407,.741,8,12,R,R.De La Rosa (46),2016
10,Apr 14,,ARI,"W,5-2",34,29,5,8,1,0,0,5,5,0,6,0,0,0,0,3,0,0,.279,.338,.399,.737,5,13,L,R.Ray (58),2016
11,Apr 15,,SFG,"W,7-3",37,35,7,9,2,1,2,7,2,0,11,0,0,0,3,1,0,0,.277,.334,.412,.746,6,12,L,M.Bumgarner (35),2016
12,Apr 16,,SFG,"L,3-4",35,32,3,5,3,0,1,3,3,0,8,0,0,0,0,0,0,0,.268,.326,.407,.733,5,17,R,J.Cueto (73),2016
13,Apr 17,,SFG,"W,3-1",30,27,3,6,0,0,1,3,3,0,3,0,0,0,0,2,1,1,.265,.325,.403,.727,3,13,R,J.Samardzija (48),2016
14,Apr 19,@,ATL,"L,1-8",35,30,1,5,0,0,0,1,4,0,7,0,1,0,0,1,0,0,.259,.321,.388,.709,7,16,R,W.Perez (54),2016
15,Apr 20,@,ATL,"W,5-3",43,38,5,10,2,0,1,5,5,1,9,0,0,0,0,0,2,2,.260,.323,.388,.711,8,18,R,J.Teheran (51),2016
16,Apr 21,@,ATL,"W,2-1",45,40,2,9,2,0,0,2,5,1,10,0,0,0,3,1,1,0,.257,.322,.380,.702,13,15,R,M.Wisler (68),2016
17,Apr 22,@,COL,"L,5-7",38,34,5,8,0,1,2,5,4,0,14,0,0,0,0,0,1,0,.256,.322,.386,.707,6,16,R,J.Gray (41),2016
18,Apr 23,@,COL,"W,4-1",40,36,4,10,2,0,1,4,3,0,8,0,1,0,0,0,0,0,.257,.322,.387,.710,9,14,R,T.Chatwood (40),2016
19,Apr 24,@,COL,"W,12-10",48,37,12,11,4,1,1,11,10,0,6,0,1,0,1,1,0,0,.259,.330,.396,.726,9,19,R,J.Lyles (19),2016
20,Apr 25,,MIA,"L,2-3",36,33,2,7,0,0,2,2,2,0,8,0,1,0,1,1,0,0,.257,.327,.396,.723,7,17,L,W.Chen (57),2016
21,Apr 26,,MIA,"L,3-6",38,33,3,6,2,0,0,1,5,0,7,0,0,0,0,0,0,0,.254,.325,.389,.714,8,14,R,T.Koehler (50),2016
22,Apr 27,,MIA,"L,0-2",33,28,0,2,0,0,0,0,5,0,4,0,0,0,0,1,0,0,.247,.321,.377,.698,6,15,L,J.Nicolino (74),2016
23,Apr 28,,MIA,"L,3-5",38,33,3,8,1,0,0,2,4,0,12,1,0,0,1,2,0,0,.247,.322,.373,.694,8,14,R,J.Fernandez (59),2016
24,Apr 29,,SDP,"L,1-5",37,32,1,6,1,0,1,1,4,0,11,1,0,0,0,0,0,0,.245,.321,.370,.691,9,13,R,C.Vargas (63),2016
25,Apr 30,,SDP,"L,2-5",35,30,2,4,0,1,1,2,5,1,5,0,0,0,0,1,0,0,.241,.318,.368,.686,6,15,R,C.Rea (56),2016
2016
26,May 1,,SDP,"W,1-0",28,26,1,3,2,0,0,1,2,1,7,0,0,0,1,1,0,0,.237,.314,.363,.677,3,9,L,D.Pomeranz (71),2016
27,May 3,@,TBR,"W,10-5",43,40,10,13,2,0,3,10,3,0,8,0,0,0,1,0,0,1,.241,.317,.373,.690,6,11,L,M.Moore (18),2016
28,May 4,@,TBR,"L,5-8",41,33,5,8,3,0,0,4,7,0,11,0,0,1,0,0,0,0,.241,.319,.372,.690,9,12,L,D.Smyly (53),2016
29,May 6,@,TOR,"L,2-5",38,35,2,10,2,0,0,2,3,0,8,0,0,0,0,1,0,1,.242,.319,.371,.690,9,9,R,M.Stroman (59),2016
30,May 7,@,TOR,"W,6-2",36,33,6,7,0,0,2,5,2,0,5,0,0,1,2,2,0,0,.241,.317,.371,.689,3,10,R,R.Dickey (55),2016
31,May 8,@,TOR,"W,4-2",41,35,4,8,2,0,1,4,4,1,12,1,0,1,1,0,0,0,.241,.317,.371,.689,10,10,R,M.Estrada (73),2016
32,May 9,,NYM,"L,2-4",36,33,2,6,0,0,1,2,2,0,8,0,1,0,1,0,2,0,.239,.315,.368,.683,7,18,L,S.Matz (56),2016
33,May 10,,NYM,"W,3-2",36,34,3,10,5,0,1,3,1,1,4,0,0,1,0,0,0,0,.241,.314,.373,.688,7,14,R,J.deGrom (57),2016
34,May 11,,NYM,"L,3-4",34,33,3,7,1,0,2,3,1,0,7,0,0,0,1,2,0,0,.240,.312,.375,.687,4,14,R,N.Syndergaard (67),2016
