Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
2018
1,Mar 29,,HOU,"L,1-4",34,31,1,6,1,0,0,0,2,0,9,1,0,0,0,1,0,0,.194,.265,.226,.491,6,9,R,J.Verlander (67),2018
2,Mar 30,,HOU,"W,5-1",35,31,5,10,3,0,1,5,2,0,6,0,0,2,1,2,0,0,.258,.304,.371,.675,6,9,L,D.Keuchel (49),2018
3,Mar 31,,HOU,"L,3-9",36,32,3,5,1,0,1,3,4,0,13,0,0,0,0,0,0,0,.223,.286,.340,.626,6,10,R,L.McCullers (61),2018
4,Apr 1,,HOU,"L,2-8",33,30,2,4,1,0,2,2,3,0,12,0,0,0,0,1,0,0,.202,.268,.347,.615,4,10,R,G.Cole (77),2018
5,Apr 2,@,OAK,"L,1-3",39,35,1,7,0,0,0,1,4,0,11,0,0,0,1,0,2,0,.201,.271,.314,.586,11,10,R,A.Triggs (60),2018
6,Apr 3,@,OAK,"W,4-1",34,32,4,10,2,0,1,4,2,0,2,0,0,0,0,1,0,3,.220,.284,.340,.625,3,9,R,K.Graveman (35),2018
7,Apr 4,@,OAK,"L,2-6",31,29,2,4,0,0,1,2,1,0,4,1,0,0,0,2,0,0,.209,.273,.327,.600,2,9,L,S.Manaea (75),2018
8,Apr 5,@,OAK,"W,6-3",38,35,6,10,2,0,1,4,2,0,4,0,1,0,1,0,0,2,.220,.280,.341,.621,5,9,R,D.Mengden (45),2018
9,Apr 6,,TOR,"L,5-8",39,38,5,13,3,0,1,5,1,0,8,0,0,0,0,1,0,0,.235,.289,.362,.651,7,10,R,M.Estrada (64),2018
10,Apr 7,,TOR,"W,5-1",36,30,5,8,2,0,0,5,5,0,6,0,0,1,0,1,0,0,.238,.297,.359,.656,7,9,R,M.Stroman (30),2018
11,Apr 8,,TOR,"L,4-7",42,35,4,9,4,0,1,4,5,0,9,1,1,0,0,0,0,0,.240,.304,.369,.673,11,11,L,J.Garcia (49),2018
