Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
2014
1,Mar 31,@,BAL,"L,1-2",8.0,6,2,2,0,1,9,1,0,2.25,29,117,83,0,0,0,0,28,0,0,0,0,0,0,2,2,Dana DeMuth,"J.Lester (99-64-L), J.Tazawa (99)",2014
2,Apr 2,@,BAL,"W,6-2",9.0,6,2,2,0,1,9,1,0,2.12,35,139,102,0,0,0,0,34,0,0,0,0,0,1,0,4,Ron Kulpa,"J.Lackey (99-63-W), E.Mujica (99), J.Tazawa (1), K.Uehara (99)",2014
3,Apr 3,@,BAL,"W,4-3",9.0,9,3,3,0,2,8,0,0,2.42,37,121,84,1,1,0,0,35,2,0,0,0,0,0,1,5,Ed Hickox,"F.Doubront (99-47-W), B.Workman (99-H), C.Capuano (99-H), J.Tazawa (0-H), K.Uehara (0-Sv)",2014
4,Apr 4,,MIL,"L,2-6",9.0,12,6,6,0,4,6,1,0,3.34,43,145,93,1,0,1,1,38,4,1,0,1,0,1,1,4,Todd Tichenor,"J.Peavy (99-54), B.Badenhop (99), E.Mujica (1-L), A.Miller (99)",2014
5,Apr 5,,MIL,"L,6-7",11.0,19,7,7,0,1,18,2,0,3.91,53,188,134,5,0,1,0,52,6,0,0,0,0,0,0,7,Tim Welke,"C.Buchholz (99-16), C.Capuano (1), B.Workman (1), K.Uehara (1), J.Tazawa (1), B.Badenhop (0-L), A.Miller (0)",2014
6,Apr 6,,MIL,"L,0-4",9.0,9,4,2,2,2,8,0,0,3.60,38,141,91,1,1,2,0,36,2,0,0,0,0,0,0,3,Clint Fagan,"J.Lester (5-57-L), E.Mujica (1), A.Miller (0)",2014
7,Apr 7,,TEX,"W,5-1",9.0,8,1,0,1,2,6,0,0,3.09,35,132,89,0,0,2,0,32,1,1,0,0,1,0,2,3,Paul Emmel,"J.Lackey (4-68-W), C.Capuano (1-H), K.Uehara (1)",2014
8,Apr 8,,TEX,"L,7-10",9.0,13,10,10,0,4,5,1,0,3.95,44,148,97,3,0,0,0,36,6,0,0,2,2,0,0,3,Chris Conroy,"F.Doubront (4-25-L), B.Badenhop (2), B.Workman (2)",2014
9,Apr 9,,TEX,"W,4-2",9.0,5,2,2,0,4,9,1,0,3.73,35,145,91,1,0,1,1,30,2,0,0,0,1,0,0,4,Jordan Baker,"J.Peavy (4-68), J.Tazawa (3), A.Miller (2-W), K.Uehara (1-Sv)",2014
10,Apr 10,@,NYY,"L,1-4",8.0,7,4,2,2,0,6,1,0,3.60,30,119,82,0,0,0,0,30,1,0,0,0,0,1,1,3,Bob Davidson,"C.Buchholz (4-52-L), C.Breslow (99), C.Capuano (2)",2014
11,Apr 11,@,NYY,"W,4-2",9.0,7,2,2,0,2,9,1,0,3.45,35,145,92,2,0,1,0,33,0,0,0,0,0,0,1,3,James Hoye,"J.Lester (4-58-W), J.Tazawa (1-H), E.Mujica (4-Sv)",2014
12,Apr 12,@,NYY,"L,4-7",8.0,14,7,7,0,1,9,5,0,3.79,38,146,99,2,0,1,0,36,2,0,0,1,0,0,1,4,John Tumpane,"J.Lackey (4-31-L), C.Breslow (1), A.Miller (2), B.Badenhop (3)",2014
13,Apr 13,@,NYY,"L,2-3",8.0,8,3,3,0,3,2,1,0,3.76,34,118,70,1,0,0,0,31,3,0,0,0,0,0,0,2,Brian O'Nora,"F.Doubront (4-47-L), C.Capuano (2)",2014
14,Apr 15,@,CHW,"L,1-2",8.2,5,2,1,1,7,10,1,0,3.57,38,174,100,2,1,0,1,31,1,0,0,0,0,1,0,5,Marvin Hudson,"J.Peavy (5-66), J.Tazawa (3), A.Miller (2), B.Badenhop (2-L), C.Capuano (1)",2014
15,Apr 16,@,CHW,"W,6-4",14.0,10,4,3,1,3,15,1,1,3.40,56,229,154,1,0,2,0,52,0,0,0,0,0,1,1,7,Cory Blaser,"C.Buchholz (5-54), C.Breslow (3), J.Tazawa (0), A.Miller (0), E.Mujica (4-BSv), C.Capuano (0-W), B.Badenhop (0-Sv)",2014
16,Apr 17,@,CHW,"W,3-1",9.0,8,1,1,0,0,10,0,0,3.25,34,125,84,0,0,0,0,33,2,0,0,1,0,0,0,2,Jim Joyce,"J.Lester (5-73-W), K.Uehara (7-Sv)",2014
17,Apr 18,,BAL,"L,4-8",9.0,15,8,8,0,5,8,0,0,3.53,46,156,94,2,0,1,1,41,4,0,0,0,0,0,0,4,Paul Schrieber,"J.Lackey (5-26-L), A.Miller (1), B.Badenhop (1), E.Mujica (1)",2014
18,Apr 19,,BAL,"W,4-2",9.0,5,2,2,0,3,11,0,1,3.44,36,137,90,1,0,2,0,32,1,0,0,0,0,1,1,3,Mark Carlson,"F.Doubront (5-61), J.Tazawa (2-W), K.Uehara (1-Sv)",2014
19,Apr 20,,BAL,"W,6-5",9.0,12,5,5,0,4,9,1,0,3.52,43,141,93,5,0,0,0,38,3,0,1,0,1,0,0,5,Ted Barrett,"J.Peavy (4-30), C.Capuano (3), J.Tazawa (0), A.Miller (1), E.Mujica (1-W)",2014
20,Apr 21,,BAL,"L,6-7",9.0,10,7,7,0,4,2,0,0,3.70,37,127,79,1,0,0,0,33,1,0,0,0,0,0,3,4,Will Little,"C.Buchholz (4-19-L), B.Badenhop (2), C.Breslow (4), A.Miller (0)",2014
