Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
2014
1,Mar 31,,STL,"L,0-1",9.0,5,1,1,0,2,9,1,0,1.00,34,128,87,2,0,0,0,32,1,0,0,0,0,0,0,3,Gary Cederstrom,"J.Cueto (99-74-L), M.Parra (99), L.Ondrusek (99)",2014
2,Apr 2,,STL,"W,1-0",9.0,3,0,0,0,3,12,0,0,0.50,33,137,87,0,0,0,0,30,1,0,0,0,0,1,0,3,Kerwin Danley,"T.Cingrani (99-80), M.Parra (1), J.Hoover (99-W)",2014
3,Apr 3,,STL,"L,6-7",9.0,11,7,7,0,6,5,1,0,2.67,42,177,101,5,3,0,1,36,4,0,1,0,0,0,0,5,Lance Barksdale,"H.Bailey (99-33-L), N.Christiani (99), T.Bell (99), L.Ondrusek (2), C.Partch (99)",2014
4,Apr 4,@,NYM,"L,3-4",8.0,6,4,4,0,3,4,2,0,3.09,33,132,74,1,0,0,0,30,1,0,0,0,0,0,0,3,John Tumpane,"M.Leake (99-48-L), M.Parra (1), J.Hoover (1)",2014
5,Apr 5,@,NYM,"L,3-6",8.0,6,6,6,0,5,10,2,0,3.77,36,129,81,0,0,0,0,30,1,0,1,1,0,1,1,3,John Hirschbeck,"J.Cueto (4-65), S.LeCure (99-H), J.Hoover (0-BL)",2014
6,Apr 6,@,NYM,"W,2-1",9.0,4,1,1,0,1,8,0,1,3.29,32,102,75,0,0,0,1,30,2,0,0,0,0,0,0,2,Bob Davidson,"A.Simon (99-70-W), M.Parra (1-Sv)",2014
7,Apr 7,@,STL,"L,3-5",8.0,9,5,5,0,6,6,0,0,3.60,39,154,87,2,0,1,0,32,3,0,1,1,0,1,1,4,CB Bucknor,"T.Cingrani (4-45-L), N.Christiani (3), T.Bell (3), C.Partch (3)",2014
8,Apr 8,@,STL,"L,5-7",8.0,13,7,7,0,4,7,1,1,4.10,41,159,103,0,0,1,0,35,3,1,0,1,0,0,1,4,Tripp Gibson,"H.Bailey (4-36), L.Ondrusek (4-BL), J.Hoover (2), N.Christiani (0)",2014
9,Apr 9,@,STL,"W,4-0",9.0,4,0,0,0,1,3,0,0,3.62,29,112,64,0,0,0,0,28,1,0,0,0,0,0,3,2,Dale Scott,"M.Leake (4-76-W), M.Parra (2)",2014
10,Apr 11,,TBR,"L,1-2",9.0,6,2,2,0,6,8,1,0,3.45,38,153,92,0,0,1,0,32,1,0,0,0,0,0,0,3,D.J. Reyburn,"J.Cueto (5-61-L), S.LeCure (5), J.Broxton (99)",2014
11,Apr 12,,TBR,"L,0-1",9.0,5,1,1,0,1,6,1,0,3.22,33,113,73,0,0,0,0,32,2,0,0,0,0,0,0,2,Clint Fagan,"A.Simon (5-71-L), M.Parra (2)",2014
12,Apr 13,,TBR,"W,12-4",9.0,7,4,4,0,6,8,2,0,3.29,39,151,89,0,0,0,0,33,1,0,0,0,0,0,1,4,Dan Bellino,"T.Cingrani (5-58-W), N.Christiani (4), S.LeCure (1), C.Partch (5)",2014
13,Apr 14 susp,,PIT,"L,7-8",9.0,14,8,8,0,1,14,6,0,3.66,42,176,113,0,0,0,0,41,2,0,0,0,0,0,0,4,Phil Cuzzi,"H.Bailey (5-40), J.Hoover (5-BSv), S.LeCure (0-L), N.Christiani (0)",2014
14,Apr 15,,PIT,"W,7-5",9.0,7,5,5,0,3,9,1,1,3.76,39,157,103,2,0,1,0,34,2,0,0,0,1,1,0,3,Brian Knight,"M.Leake (5-59-W), M.Parra (2-H), J.Broxton (3-Sv)",2014
15,Apr 16,,PIT,"W,4-0",9.0,3,0,0,0,0,12,0,0,3.50,30,107,71,,,0,0,30,1,0,0,0,0,0,0,1,Quinn Wolcott,J.Cueto (4-93-W),2014
16,Apr 18,@,CHC,"W,4-1",9.0,6,1,0,1,3,8,0,0,3.28,36,145,91,2,1,0,0,33,1,0,1,0,0,1,0,4,Doug Eddings,"A.Simon (5-63-W), S.LeCure (3-H), M.Parra (2-H), J.Broxton (2-Sv)",2014
17,Apr 19,@,CHC,"L,4-8",8.0,11,8,8,0,5,5,3,0,3.59,38,165,90,2,1,1,1,33,0,0,0,0,0,0,1,4,Marvin Hudson,"T.Cingrani (5-46-L), L.Ondrusek (10), N.Christiani (4), J.Hoover (4)",2014
18,Apr 20,@,CHC,"W,8-2",9.0,11,2,2,0,6,10,0,1,3.50,43,179,111,3,0,1,1,36,2,0,0,0,0,0,1,4,Cory Blaser,"H.Bailey (5-65-W), M.Parra (1), S.LeCure (1), S.Marshall (99)",2014
19,Apr 21,@,PIT,"L,5-6",8.2,12,6,6,0,4,3,2,1,3.64,41,128,77,1,0,0,0,36,1,0,0,0,0,0,1,3,Gary Cederstrom,"M.Leake (5-46), M.Parra (0-BSv), J.Hoover (1-L)",2014
20,Apr 22,@,PIT,"W,4-1",9.0,3,1,1,0,3,4,1,0,3.50,33,117,73,,,0,0,30,0,0,0,0,0,1,1,1,Kerwin Danley,J.Cueto (5-78-W),2014
21,Apr 23,@,PIT,"W,5-2",9.0,6,2,2,0,5,4,1,0,3.43,39,151,92,1,0,0,0,33,0,0,0,1,0,1,0,4,Lance Barksdale,"A.Simon (4-57-W), S.Marshall (2-H), S.LeCure (2-H), J.Broxton (4-Sv)",2014
22,Apr 24,@,PIT,"W,2-1",9.0,7,1,1,0,2,12,0,0,3.32,36,136,88,0,0,0,0,34,0,0,0,0,0,0,0,4,Mark Ripperger,"T.Cingrani (4-61-W), L.Ondrusek (4-H), S.LeCure (0-H), J.Broxton (0-Sv)",2014
23,Apr 25,@,ATL,"L,4-5",8.0,10,5,5,0,1,6,1,0,3.41,33,120,78,1,0,0,0,32,1,0,0,0,0,0,2,4,Bill Miller,"H.Bailey (4-38-L), J.Hoover (3), S.Marshall (1), N.Christiani (5)",2014
24,Apr 26,@,ATL,"L,1-4",8.0,8,4,4,0,1,5,3,0,3.45,32,99,66,1,0,1,0,31,0,0,0,0,0,0,1,3,Vic Carapazza,"M.Leake (4-49-L), M.Parra (4), N.Christiani (0)",2014
25,Apr 27,@,ATL,"L,0-1",9.2,7,1,1,0,3,12,0,0,3.34,39,142,93,2,1,0,0,35,2,0,0,1,0,0,0,4,Adam Hamari,"J.Cueto (4-84), S.LeCure (2), J.Hoover (1-L), M.Parra (0)",2014
26,Apr 29,,CHC,"W,3-2",9.0,8,2,2,0,3,8,0,1,3.29,37,151,95,0,0,2,1,33,0,0,0,0,0,0,1,4,Alan Porter,"A.Simon (5-57-W), L.Ondrusek (4-H), S.LeCure (1-H), J.Broxton (4-Sv)",2014
