Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
2019
1,Mar 28,,CHW,"W,5-3",9.0,4,3,3,0,4,5,0,1,3.00,36,136,79,7,3,0,0,31,0,0,0,0,0,0,0,6,Jerry Meals,"B.Keller (99-77-W), I.Kennedy (99), W.Peralta (99), J.Diekman (99), K.McCarthy (99), B.Boxberger (99-Sv)",2019
2,Mar 30,,CHW,"W,8-6",9.0,10,6,6,0,2,10,2,0,4.50,38,154,101,1,0,1,0,36,1,0,0,0,0,0,1,5,Ron Kulpa,"J.Junis (99-50-W), T.Hill (99-H), B.Boxberger (1), J.Diekman (1-H), I.Kennedy (1-Sv)",2019
3,Mar 31,,CHW,"L,3-6",9.0,11,6,6,0,5,7,2,0,5.00,41,155,93,5,2,0,0,36,3,0,0,0,0,0,2,5,Marty Foster,"J.Lopez (99-43-L), T.Hill (0), K.McCarthy (2), K.Zimmer (99), C.Ellis (99)",2019
4,Apr 2,,MIN,"L,4-5",10.0,12,5,5,0,6,10,0,2,4.86,49,179,102,2,0,0,1,41,3,0,0,0,0,0,0,6,Mark Ripperger,"B.Keller (4-51), T.Hill (1), W.Peralta (4), J.Diekman (2), I.Kennedy (2-BSv), B.Boxberger (2-L)",2019
5,Apr 3,,MIN,"L,6-7",9.0,11,7,7,0,5,10,0,2,5.28,42,174,102,5,0,1,0,34,5,0,0,0,1,0,2,6,Jeff Kellogg,"H.Bailey (99-51), S.Barlow (99-H), T.Hill (0-H), K.McCarthy (2-H), J.Diekman (0-BSv), W.Peralta (0-L)",2019
6,Apr 4,@,DET,"L,4-5",8.0,6,5,5,0,7,10,0,0,5.33,37,147,84,3,2,2,0,29,3,0,0,0,1,0,0,4,Doug Eddings,"J.Junis (4-53), K.Zimmer (3-L), K.McCarthy (0), B.Boxberger (1)",2019
7,Apr 6,@,DET,"L,4-7",8.0,10,7,6,1,6,3,1,1,5.52,40,146,85,2,2,0,0,33,3,0,0,0,0,1,1,4,Chris Conroy,"J.Lopez (5-56), K.McCarthy (1-L), W.Peralta (2-BSv), K.Zimmer (1)",2019
8,Apr 7,@,DET,"L,1-3",8.0,5,3,3,0,4,7,0,1,5.27,33,146,92,0,0,0,0,28,2,1,0,0,0,0,1,3,Bill Miller,"B.Keller (4-50-L), J.Diekman (3), B.Boxberger (2)",2019
9,Apr 8,,SEA,"L,5-13",9.0,15,13,13,0,4,10,5,1,6.15,46,191,116,6,4,0,1,40,1,0,0,1,0,0,0,5,Quinn Wolcott,"H.Bailey (4-28-L), T.Hill (4), K.McCarthy (1), S.Barlow (4), I.Kennedy (5)",2019
10,Apr 9,,SEA,"L,3-6",9.0,15,6,6,0,1,11,1,0,6.14,43,171,114,2,0,1,0,41,4,0,0,0,1,0,0,5,Gary Cederstrom,"J.Junis (4-35-L), G.Sparkman (99), J.Diekman (1), R.Lovelady (99), W.Peralta (2)",2019
11,Apr 10,,SEA,"L,5-6",9.0,11,6,6,0,3,8,1,1,6.12,41,176,106,3,2,2,0,35,1,0,0,0,2,0,1,5,Ramon De Jesus,"H.Fillmyer (99-27), S.Barlow (1), I.Kennedy (1), J.Diekman (0), B.Boxberger (2-L)",2019
12,Apr 11,,SEA,"L,6-7",10.0,12,7,7,0,2,9,2,0,6.14,43,171,107,1,1,0,0,40,2,3,0,0,1,0,1,6,Marvin Hudson,"J.Lopez (4-61), J.Newberry (99-H), R.Lovelady (1-H), W.Peralta (1-H), B.Boxberger (0-BSv), G.Sparkman (1-L)",2019
13,Apr 12,,CLE,"W,8-1",9.0,4,1,1,0,6,12,1,1,5.74,38,154,85,1,0,0,0,31,1,0,2,0,0,0,0,3,Paul Emmel,"B.Keller (4-69-W), J.Diekman (1), I.Kennedy (1)",2019
14,Apr 13,,CLE,"W,3-0",9.0,2,0,0,0,2,8,0,0,5.33,30,134,83,0,0,0,0,28,1,0,0,0,0,0,1,3,Bruce Dreckman,"H.Bailey (4-77-W), I.Kennedy (0-H), W.Peralta (1-Sv)",2019
15,Apr 14,,CLE,"W,9-8",9.0,11,8,8,0,3,4,1,0,5.51,39,159,98,3,3,0,0,36,2,0,1,0,0,0,1,5,Manny Gonzalez,"J.Junis (4-40), R.Lovelady (2-H), J.Newberry (2-BSv), B.Boxberger (2), W.Peralta (0-W)",2019
16,Apr 15,@,CHW,"L,4-5",8.0,9,5,5,0,3,6,1,2,5.51,37,136,86,0,0,0,1,32,2,0,0,0,0,0,0,3,Joe West,"H.Fillmyer (4-46), S.Barlow (4), B.Boxberger (0-BL)",2019
17,Apr 16,@,CHW,"L,1-5",8.0,9,5,5,0,2,14,4,0,5.52,34,133,87,0,0,1,0,32,2,0,0,0,0,0,1,2,Eric Cooper,"J.Lopez (4-48-L), J.Newberry (1)",2019
18,Apr 17,@,CHW,"W,4-3",10.0,9,3,3,0,8,9,1,1,5.34,47,183,105,6,1,1,0,38,1,0,0,0,0,1,1,5,Jansen Visconti,"B.Keller (4-50), I.Kennedy (3), J.Diekman (4-H), W.Peralta (2-BW), S.Barlow (1-Sv)",2019
19,Apr 18,@,NYY,"W,6-1",9.0,4,1,1,0,3,10,0,0,5.11,34,142,90,0,0,0,0,30,0,0,0,0,1,1,1,3,Jerry Meals,"H.Bailey (4-67-W), R.Lovelady (3), I.Kennedy (0)",2019
20,Apr 19,@,NYY,"L,2-6",8.0,8,6,5,1,5,3,2,1,5.14,35,128,77,2,0,1,0,28,2,0,0,0,1,1,3,4,Marty Foster,"J.Junis (4-38-L), J.Diekman (1), B.Boxberger (3), J.Newberry (2)",2019
21,Apr 20,@,NYY,"L,2-9",8.0,14,9,9,0,4,7,4,0,5.35,42,173,102,0,0,0,0,38,3,0,0,0,0,0,0,3,Nic Lentz,"H.Fillmyer (4-25-L), G.Sparkman (8), J.Newberry (0)",2019
22,Apr 21,@,NYY,"L,6-7",9.1,12,7,6,1,3,9,1,1,5.37,44,167,104,2,1,0,0,39,3,0,0,1,0,0,0,5,Ron Kulpa,"J.Lopez (4-48), W.Peralta (3-BSv), S.Barlow (3), J.Diekman (1-L), I.Kennedy (2)",2019
23,Apr 22,@,TBR,"L,3-6",8.0,8,6,6,0,3,6,2,0,5.43,33,138,85,1,0,0,0,29,2,2,0,0,1,0,2,3,Jeff Kellogg,"B.Keller (4-39-L), J.Diekman (0), S.Barlow (0)",2019
24,Apr 23,@,TBR,"L,2-5",8.0,7,5,5,0,6,8,1,0,5.43,36,149,91,3,2,0,0,29,1,0,0,0,1,0,1,5,Brian O'Nora,"H.Bailey (4-27-L), J.Newberry (2), T.Hill (14), B.Boxberger (3), R.Lovelady (4)",2019
25,Apr 24,@,TBR,"W,10-2",9.0,9,2,2,0,3,12,0,2,5.29,40,136,90,1,0,0,0,35,1,0,0,0,0,0,1,5,James Hoye,"J.Junis (4-59-W), J.Diekman (1), I.Kennedy (2), R.Lovelady (0), W.Peralta (2)",2019
