Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
2014
1,Mar 22,@,ARI,"W,3-1",9.0,5,1,1,0,2,10,0,0,1.00,35,134,93,1,0,0,0,33,1,0,0,0,0,1,0,4,Tim Welke,"C.Kershaw (99-66-W), C.Perez (99-H), B.Wilson (99-H), K.Jansen (99-Sv)",2014
2,Mar 23,@,ARI,"W,7-5",9.0,8,5,5,0,8,8,1,0,3.00,43,180,104,6,1,0,0,35,0,0,0,0,0,1,2,8,Dale Scott,"H.Ryu (99-67-W), C.Withrow (99), P.Rodriguez (99), J.Wright (99), J.Howell (99), J.Dominguez (99), P.Maholm (99), K.Jansen (0)",2014
3,Mar 30,@,SDP,"L,1-3",8.0,5,3,2,1,4,10,1,0,2.77,33,125,76,4,0,1,0,27,0,0,0,2,0,2,2,4,Fieldin Culbreth,"H.Ryu (6-75), B.Wilson (7-BL), C.Perez (7), P.Rodriguez (6)",2014
4,Apr 1,@,SDP,"W,3-2",9.0,6,2,2,0,4,9,1,0,2.57,36,153,86,0,0,0,0,32,0,0,0,0,0,1,2,5,Manny Gonzalez,"Z.Greinke (99-58-W), P.Rodriguez (1-H), C.Withrow (8-H), J.Howell (8-H), K.Jansen (8-Sv)",2014
5,Apr 2,@,SDP,"W,5-1",9.0,6,1,0,1,0,8,0,0,2.05,34,133,83,0,0,1,0,33,2,0,0,0,0,0,0,5,Jim Reynolds,"D.Haren (99-68-W), P.Rodriguez (0-H), J.Wright (9-H), J.Howell (0), C.Perez (2)",2014
6,Apr 4,,SFG,"L,4-8",9.0,8,8,6,2,4,12,0,0,2.72,39,156,93,0,0,0,1,35,3,0,1,0,0,1,0,5,Alan Porter,"H.Ryu (4-11-L), J.Dominguez (11), B.League (99), C.Withrow (2), J.Wright (1)",2014
7,Apr 5,,SFG,"L,2-7",9.0,11,7,7,0,6,5,3,0,3.34,42,178,105,2,0,0,0,35,3,0,0,1,0,0,2,7,Joe West,"P.Maholm (12-28-L), J.Dominguez (0), P.Rodriguez (2), C.Perez (2), J.Howell (2), K.Jansen (3), J.Wright (0)",2014
8,Apr 6,,SFG,"W,6-2",9.0,8,2,2,0,0,16,2,0,3.17,35,140,102,1,0,0,0,35,0,0,0,0,0,0,0,5,Marty Foster,"Z.Greinke (4-60-W), C.Withrow (1-H), J.Howell (0-H), C.Perez (0-H), K.Jansen (0)",2014
9,Apr 8,,DET,"W,3-2",10.0,5,2,2,0,2,7,1,0,3.00,35,155,95,0,0,1,1,32,1,0,0,1,0,0,1,5,Tom Hallion,"D.Haren (5-65), C.Withrow (1), C.Perez (1-H), K.Jansen (1-BSv), J.Howell (1-W)",2014
10,Apr 9,,DET,"L,6-7",10.0,13,7,5,2,3,11,2,1,3.16,45,187,121,2,0,3,1,39,2,0,1,0,2,2,3,7,Eric Cooper,"J.Beckett (99-38), B.League (4), J.Wright (3), P.Rodriguez (3), P.Maholm (3), K.Jansen (0-L), J.Howell (0)",2014
11,Apr 11,@,ARI,"W,6-0",9.0,2,0,0,0,2,11,0,0,2.88,30,124,87,0,0,0,0,28,0,0,0,0,0,0,1,2,Will Little,"H.Ryu (6-80-W), J.Wright (1)",2014
12,Apr 12,@,ARI,"W,8-5",9.0,12,5,5,0,2,12,1,2,3.06,43,182,113,1,0,1,0,38,3,0,0,0,1,0,0,6,Tim Timmons,"Z.Greinke (5-56-W), P.Rodriguez (2), C.Withrow (3), P.Maholm (2), B.League (2), K.Jansen (2-Sv)",2014
13,Apr 13,@,ARI,"W,8-6",9.0,14,6,6,0,2,11,2,1,3.28,42,170,111,4,1,2,0,39,4,1,0,0,0,0,1,6,Todd Tichenor,"D.Haren (4-41-W), P.Rodriguez (0-H), J.Wright (1), J.Howell (3-H), C.Perez (4-H), K.Jansen (0-Sv)",2014
14,Apr 15,@,SFG,"L,2-3",11.2,12,3,2,1,9,9,0,1,3.12,54,211,118,1,0,1,1,41,1,0,1,2,1,1,2,7,Mike Winters,"J.Beckett (5-62), C.Withrow (2-BSv), J.Howell (1-H), C.Perez (1-H), K.Jansen (1-BSv), J.Wright (1), B.League (2-L)",2014
15,Apr 16,@,SFG,"L,1-2",8.0,7,2,2,0,5,4,0,0,3.07,34,123,70,2,0,0,0,28,0,0,1,1,0,1,3,4,Andy Fletcher,"P.Maholm (3-57), J.Howell (0-L), C.Perez (0), B.League (0)",2014
16,Apr 17,@,SFG,"W,2-1",9.0,6,1,1,0,3,6,0,0,2.95,37,170,107,0,0,1,0,34,1,0,0,0,0,0,0,3,Seth Buckminster,"H.Ryu (5-71-W), B.Wilson (17-H), K.Jansen (1-Sv)",2014
17,Apr 18,,ARI,"L,2-4",12.0,7,4,4,0,5,11,1,1,2.95,48,190,124,2,0,1,1,40,1,0,0,1,0,1,2,5,Scott Barry,"Z.Greinke (5-68), J.Wright (2), C.Withrow (2), B.League (1), C.Perez (1-L)",2014
18,Apr 19,,ARI,"W,8-6",9.0,10,6,3,3,1,7,0,1,2.95,39,139,92,1,1,0,0,36,3,0,0,1,0,1,1,3,Jeff Nelson,"D.Haren (5-55-W), B.Wilson (1), K.Jansen (1-Sv)",2014
19,Apr 20,,ARI,"W,4-1",9.0,3,1,1,0,4,14,0,0,2.85,33,147,93,2,1,0,0,28,1,0,0,0,0,0,1,5,Marcus Pattillo,"J.Beckett (4-70), J.Wright (1-W), C.Perez (1-H), J.Howell (3-H), K.Jansen (0-Sv)",2014
20,Apr 21,,PHI,"L,0-7",9.0,11,7,6,1,3,5,2,0,3.01,42,159,96,0,0,0,0,39,3,0,0,0,0,1,0,3,Hunter Wendelstedt,"P.Maholm (4-32-L), B.League (2), J.Dominguez (15)",2014
21,Apr 22,,PHI,"L,2-3",10.0,11,3,2,1,2,8,0,1,2.94,44,171,110,0,0,1,1,40,2,1,1,0,1,2,1,5,Mike Estabrook,"H.Ryu (4-47), C.Withrow (3), B.Wilson (2), K.Jansen (1), J.Howell (1-L)",2014
22,Apr 23,,PHI,"W,5-2",9.0,5,2,2,0,1,13,1,0,2.90,33,134,90,0,0,0,0,32,2,0,1,0,0,0,0,3,Gabe Morales,"Z.Greinke (4-69-W), J.Howell (0-H), K.Jansen (0-Sv)",2014
23,Apr 24,,PHI,"L,3-7",9.0,11,7,5,2,5,8,0,1,2.99,44,171,107,3,2,1,0,38,4,0,2,0,0,1,1,5,Mike DiMuro,"D.Haren (4-55), C.Withrow (1), C.Perez (3), B.Wilson (1-L), J.Wright (3)",2014
24,Apr 25,,COL,"L,4-5",11.0,8,5,5,0,1,7,2,0,3.04,42,139,100,3,2,2,0,41,1,0,0,0,0,0,1,5,Angel Hernandez,"J.Beckett (4-72), C.Perez (0), J.Wright (0-L), J.Howell (1), B.League (3)",2014
25,Apr 26,,COL,"W,6-3",9.0,7,3,3,0,6,7,0,0,3.04,37,145,84,2,1,0,0,30,1,0,0,1,0,0,2,4,Paul Nauert,"P.Maholm (4-59-W), C.Withrow (1-H), B.Wilson (1), K.Jansen (2-Sv)",2014
26,Apr 27,,COL,"L,1-6",9.0,11,6,5,1,0,5,1,1,3.12,39,134,95,0,0,0,1,37,4,0,0,1,0,2,1,4,Stu Scheurwater,"H.Ryu (4-30-L), B.League (1), B.Wilson (0), J.Wright (1)",2014
27,Apr 30,@,MIN,"W,6-4",9.0,12,4,3,1,2,11,0,0,3.11,40,190,122,6,2,0,0,38,5,0,0,0,0,0,0,6,Chris Segal,"Z.Greinke (6-61-W), J.Howell (4), C.Withrow (3-H), B.Wilson (2), P.Rodriguez (16), K.Jansen (3-Sv)",2014
2014
28,May 1(1),@,MIN,"W,9-4",9.0,7,4,3,1,3,9,0,0,3.11,37,139,92,3,0,0,0,34,1,0,0,0,0,0,0,3,Adrian Johnson,"D.Haren (6-52-W), J.Howell (0), C.Perez (5-Sv)",2014
29,May 1(2),@,MIN,"W,4-3",12.0,6,3,2,1,7,7,0,0,3.04,49,223,132,4,0,2,0,40,0,0,0,0,2,1,1,6,Tim Timmons,"R.Patterson (99-54), B.League (3), P.Rodriguez (0), B.Wilson (0), J.Wright (3-W), K.Jansen (0-Sv)",2014
