Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
2015
1,Apr 6,@,DET,"L,0-4",8.0,10,4,4,0,2,6,2,0,4.50,34,124,88,0,0,3,0,31,1,1,0,0,1,0,2,2,Joe West,"P.Hughes (99-45-L), J.Graham (99)",2015
2,Apr 8,@,DET,"L,0-11",8.0,15,11,10,1,7,2,0,0,7.88,46,178,106,3,1,0,0,38,5,1,2,0,1,0,0,5,Kerwin Danley,"R.Nolasco (99-21-L), T.Stauffer (99), J.Graham (1), A.Thompson (99), B.Boyer (99)",2015
3,Apr 9,@,DET,"L,1-7",8.0,10,7,7,0,6,3,1,0,7.88,39,149,93,0,0,1,0,33,1,1,0,0,0,0,1,5,Lance Barksdale,"K.Gibson (99-16-L), B.Boyer (0), C.Fien (99), B.Duensing (99), G.Perkins (99)",2015
4,Apr 10,@,CHW,"W,6-0",9.0,3,0,0,0,2,7,0,0,5.73,30,112,74,1,0,0,1,28,2,0,0,0,0,0,0,2,James Hoye,"T.Milone (99-80-W), B.Duensing (0-Sv)",2015
5,Apr 11,@,CHW,"L,4-5",8.0,10,5,4,1,1,5,2,1,5.49,35,126,87,0,0,0,0,33,2,0,0,0,0,1,1,4,John Hirschbeck,"M.Pelfrey (99-38), J.Graham (2), A.Thompson (2), B.Boyer (1-L)",2015
6,Apr 12,@,CHW,"L,2-6",8.0,12,6,6,0,0,7,2,0,5.69,37,131,92,1,0,1,0,37,1,0,0,0,0,2,0,4,Sam Holbrook,"P.Hughes (5-48-L), A.Thompson (0), B.Boyer (0), B.Duensing (1)",2015
7,Apr 13,,KCR,"L,3-12",9.0,13,12,10,2,4,5,1,2,6.36,46,152,95,10,5,0,0,38,3,0,1,0,2,1,1,6,Paul Nauert,"T.May (99-35-L), T.Stauffer (4), B.Duensing (0), J.Graham (1), A.Thompson (0), G.Perkins (3)",2015
8,Apr 15,,KCR,"W,3-1",9.0,9,1,1,0,0,5,0,1,5.64,35,134,86,2,0,0,0,34,0,0,0,0,0,0,2,4,Mike Estabrook,"K.Gibson (5-55-W), B.Duensing (1-H), C.Fien (5-H), G.Perkins (1-Sv)",2015
9,Apr 16,,KCR,"W,8-5",9.0,10,5,5,0,4,3,1,0,5.57,42,152,91,4,0,1,0,37,3,0,0,1,0,1,0,6,Dana DeMuth,"T.Milone (5-42-W), T.Stauffer (2-H), A.Thompson (2-H), C.Fien (0-H), B.Duensing (0), G.Perkins (0-Sv)",2015
10,Apr 17,,CLE,"W,3-2",11.0,8,2,2,0,5,10,1,0,5.07,45,175,109,1,0,1,0,40,1,0,1,0,0,0,0,6,Mike DiMuro,"M.Pelfrey (5-55), T.Stauffer (0), A.Thompson (0), G.Perkins (0), C.Thielbar (99), B.Boyer (4-W)",2015
11,Apr 18,,CLE,"L,2-4",9.0,8,4,4,0,1,4,1,0,4.97,36,108,76,2,1,0,0,34,2,0,0,0,1,0,0,3,Tripp Gibson,"P.Hughes (5-44-L), C.Thielbar (0), B.Boyer (0)",2015
12,Apr 19,,CLE,"W,7-2",9.0,7,2,2,0,2,6,1,0,4.71,36,159,102,0,0,0,0,34,0,0,0,0,0,1,1,3,Brian Gorman,"T.May (5-64-W), A.Thompson (1), J.Graham (5)",2015
13,Apr 20,@,KCR,"L,1-7",8.0,8,7,6,1,4,1,0,0,4.86,35,136,86,4,4,0,0,29,4,1,0,1,1,1,1,4,Laz Diaz,"K.Gibson (4-41-L), B.Boyer (1), C.Thielbar (1), T.Stauffer (2)",2015
14,Apr 21,@,KCR,"L,5-6",8.0,10,6,6,0,5,1,2,0,4.98,39,141,82,3,2,3,0,33,1,0,0,1,0,0,0,5,Chris Guccione,"T.Milone (4-40), B.Boyer (0-H), A.Thompson (1-H), C.Fien (4-BL), G.Perkins (3)",2015
15,Apr 22,@,KCR,"W,3-0",9.0,6,0,0,0,2,5,0,2,4.64,35,122,80,0,0,2,0,31,0,1,0,0,0,0,2,3,Cory Blaser,"M.Pelfrey (4-69-W), C.Fien (0-H), G.Perkins (0-Sv)",2015
