Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
2019
1,Mar 28,,SFG,"W,2-0",9.0,5,0,0,0,1,5,0,0,0.00,31,108,67,2,0,0,0,30,0,0,0,0,0,0,0,5,Ted Barrett,"E.Lauer (99-66-W), T.Wingenter (99-H), A.Loup (99-H), C.Stammen (99-H), K.Yates (99-Sv)",2019
2,Mar 29,,SFG,"W,4-1",9.0,6,1,1,0,3,12,1,1,0.50,37,149,95,1,0,0,0,33,3,0,0,0,0,0,0,5,Lance Barksdale,"J.Lucchesi (99-67-W), R.Stock (99), T.Wingenter (0), P.Maton (99), K.Yates (0-Sv)",2019
3,Mar 30,,SFG,"L,2-3",9.0,9,3,3,0,2,9,0,3,1.33,39,152,96,3,2,1,0,34,4,0,0,0,0,0,1,5,John Tumpane,"N.Margevicius (99-62-L), R.Stock (0), R.Erlin (99), A.Loup (1), P.Maton (0)",2019
4,Mar 31,,SFG,"W,3-1",9.0,2,1,1,0,2,10,0,0,1.25,29,129,86,0,0,0,1,27,1,0,0,0,0,0,0,4,Ramon De Jesus,"C.Paddack (99-65), A.Warren (99-W), C.Stammen (2-H), K.Yates (1-Sv)",2019
5,Apr 1,,ARI,"L,3-10",9.0,15,10,9,1,4,8,1,0,2.80,45,161,107,1,0,1,0,40,5,0,0,0,1,0,1,4,Mike Everitt,"M.Strahm (99-21-L), R.Erlin (1), P.Maton (1), R.Stock (1)",2019
6,Apr 2,,ARI,"L,5-8",9.0,14,8,8,0,4,8,5,0,3.67,45,150,99,0,0,2,0,41,3,0,0,0,0,0,0,4,Bill Welke,"E.Lauer (4-34-L), A.Warren (1), T.Wingenter (3), A.Loup (2)",2019
7,Apr 3,,ARI,"W,4-1",9.0,7,1,1,0,1,11,0,0,3.29,34,138,91,0,0,0,0,33,5,0,0,0,0,0,1,4,Chris Guccione,"J.Lucchesi (4-64-W), C.Stammen (2-H), T.Wingenter (0), K.Yates (2)",2019
8,Apr 5,@,STL,"W,5-3",9.0,4,3,3,0,2,7,2,0,3.25,33,121,74,0,0,0,0,31,1,0,0,0,0,0,0,5,Alan Porter,"N.Margevicius (5-61), R.Stock (3-BW), C.Stammen (1-H), T.Wingenter (1-H), K.Yates (1-Sv)",2019
9,Apr 6,@,STL,"W,6-4",9.0,9,4,3,1,6,10,1,0,3.22,42,198,124,2,0,0,0,34,2,0,0,1,1,1,0,5,Stu Scheurwater,"C.Paddack (5-57), R.Stock (0), M.Wisler (99-W), C.Stammen (0-H), K.Yates (0-Sv)",2019
10,Apr 7,@,STL,"L,1-4",8.0,10,4,3,1,3,6,0,0,3.24,36,150,93,2,1,0,1,32,4,0,0,0,1,1,0,4,Mark Wegner,"M.Strahm (5-53-L), A.Warren (4), A.Loup (4), R.Erlin (5)",2019
11,Apr 8,@,SFG,"W,6-5",9.0,5,5,5,0,4,13,1,1,3.40,38,141,91,0,0,1,0,33,1,0,1,0,0,1,0,4,Jeremie Rehak,"E.Lauer (5-49-W), B.Wieck (99-H), C.Stammen (1-H), K.Yates (1-Sv)",2019
12,Apr 9,@,SFG,"L,2-7",8.0,7,7,7,0,3,9,0,0,3.74,34,138,85,0,0,0,0,29,3,0,0,1,1,0,0,3,Pat Hoberg,"J.Lucchesi (5-22-L), R.Erlin (1), A.Warren (1)",2019
13,Apr 10,@,SFG,"W,3-1",9.0,7,1,1,0,1,8,1,0,3.52,35,114,80,1,0,0,0,34,3,0,0,0,0,0,0,5,Gerry Davis,"N.Margevicius (4-64-W), T.Wingenter (4-H), B.Wieck (1-H), C.Stammen (1-H), K.Yates (1-Sv)",2019
14,Apr 11,@,ARI,"W,7-6",9.0,8,6,2,4,6,11,1,1,3.41,43,171,102,6,3,1,0,36,0,0,0,0,0,1,0,6,Tim Timmons,"P.Avila (99-59), R.Stock (4), B.Wieck (0-BSv), C.Stammen (0-W), A.Warren (1-H), T.Wingenter (0-Sv)",2019
15,Apr 12,@,ARI,"W,2-1",9.0,3,1,1,0,1,9,0,0,3.25,31,141,101,0,0,0,0,30,2,0,0,0,0,0,0,4,Rob Drake,"C.Paddack (5-62), G.Reyes (99-W), A.Warren (0-H), K.Yates (1-Sv)",2019
16,Apr 13,@,ARI,"W,5-4",9.0,10,4,4,0,4,9,0,2,3.30,41,178,105,4,2,0,1,35,4,0,0,0,0,0,1,7,Mike Muchlinski,"M.Strahm (5-61), G.Reyes (0), C.Stammen (1-BW), R.Stock (1), T.Wingenter (1-H), B.Wieck (1-H), K.Yates (0-Sv)",2019
