Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
2019
1,Mar 28,@,MIL,"L,4-5",8.0,7,5,5,0,2,5,3,0,5.62,32,127,83,0,0,0,0,30,0,0,0,0,0,0,1,4,Gary Cederstrom,"M.Mikolas (99-39-L), D.Leone (99), J.Brebbia (99), J.Gant (99)",2019
2,Mar 29,@,MIL,"W,9-5",9.0,8,5,5,0,2,8,2,1,5.29,35,151,92,1,0,0,1,31,1,0,0,0,1,0,2,5,Marvin Hudson,"J.Flaherty (99-36), J.Gant (0-W), A.Reyes (99), A.Miller (99), J.Hicks (99)",2019
3,Mar 30,@,MIL,"L,2-4",8.0,8,4,3,1,5,9,3,0,4.68,38,147,81,2,0,0,0,33,0,0,1,0,0,1,0,3,Adrian Johnson,"D.Hudson (99-39-L), M.Mayers (99), D.Leone (1)",2019
4,Mar 31,@,MIL,"L,4-5",8.0,9,5,5,0,6,9,1,0,4.91,38,149,92,1,1,0,0,32,3,0,1,0,0,0,1,4,Quinn Wolcott,"M.Wacha (99-63), A.Reyes (1-H), A.Miller (1-H), J.Hicks (1-BL)",2019
5,Apr 1,@,PIT,"W,6-5",11.0,6,5,5,0,8,9,1,2,4.70,47,191,107,4,0,0,0,35,2,0,1,1,1,1,2,7,Vic Carapazza,"A.Wainwright (99-37), J.Brebbia (3), D.Leone (1), A.Miller (0), M.Mayers (1), J.Hicks (0-W), J.Gant (2-Sv)",2019
6,Apr 3,@,PIT,"W,5-4",10.0,8,4,4,0,7,7,1,0,4.50,45,189,116,3,1,2,0,38,3,1,0,0,0,1,1,7,Hunter Wendelstedt,"M.Mikolas (5-41), D.Leone (1), M.Mayers (1), A.Miller (1), J.Gant (1-W), A.Reyes (2-H), D.Hudson (3-Sv)",2019
7,Apr 5,,SDP,"L,3-5",9.0,9,5,5,0,6,10,2,0,4.57,42,170,100,0,0,0,0,35,1,0,0,0,1,0,0,4,Alan Porter,"J.Flaherty (6-59), D.Leone (1-BSv), A.Reyes (1-L), J.Brebbia (3)",2019
8,Apr 6,,SDP,"L,4-6",9.0,9,6,4,2,10,8,3,0,4.50,45,189,109,2,0,2,0,35,3,0,0,0,0,0,1,4,Stu Scheurwater,"M.Wacha (5-58), J.Gant (2-H), A.Miller (2-BL), M.Mayers (2)",2019
9,Apr 7,,SDP,"W,4-1",9.0,6,1,1,0,2,12,0,0,4.11,34,149,92,2,0,0,0,32,4,0,0,0,0,0,0,4,Mark Wegner,"A.Wainwright (5-67-W), J.Brebbia (1-H), A.Miller (0-H), J.Hicks (5-Sv)",2019
10,Apr 8,,LAD,"W,4-3",9.0,5,3,3,0,3,5,0,3,4.00,36,132,75,0,0,0,0,30,2,0,0,0,0,0,1,3,Jansen Visconti,"M.Mikolas (4-52-W), J.Gant (1-H), J.Hicks (0-Sv)",2019
11,Apr 9,,LAD,"W,4-0",9.0,7,0,0,0,8,11,0,0,3.64,40,176,104,5,0,0,0,32,2,0,1,0,0,0,1,6,Doug Eddings,"D.Hudson (5-52), J.Brebbia (1-W), J.Gant (0), M.Mayers (2), A.Miller (1-H), D.Leone (3)",2019
12,Apr 10,,LAD,"W,7-2",9.0,5,2,2,0,1,11,2,1,3.50,33,148,100,0,0,0,0,31,0,0,0,0,0,0,1,5,Chris Conroy,"J.Flaherty (4-70-W), T.Webb (99), M.Mayers (0-H), J.Brebbia (0-H), D.Leone (0)",2019
13,Apr 11,,LAD,"W,11-7",9.0,10,7,7,0,1,11,3,1,3.77,39,164,113,1,0,0,0,35,1,1,0,0,2,0,0,5,Bill Miller,"M.Wacha (4-19), G.Gallegos (99-W), T.Webb (0-H), J.Gant (1), A.Miller (1)",2019
14,Apr 13,@,CIN,"L,2-5",8.0,6,5,5,0,3,5,2,1,3.89,34,121,75,2,2,0,0,30,1,2,0,0,0,0,0,4,Dan Iassogna,"A.Wainwright (5-60-L), J.Brebbia (2), T.Webb (1), M.Mayers (2)",2019
15,Apr 14,@,CIN,"W,9-5",9.0,10,5,4,1,3,8,2,1,3.90,39,133,85,2,0,0,0,35,3,0,0,0,0,1,3,6,Sam Holbrook,"M.Mikolas (5-41), J.Gant (2-W), D.Leone (3), G.Gallegos (2), A.Miller (2), J.Hicks (5-Sv)",2019
16,Apr 15,@,MIL,"L,7-10",8.0,13,10,10,0,7,9,4,0,4.31,43,175,102,4,0,0,0,36,2,0,1,0,0,0,1,5,Jerry Meals,"D.Hudson (5-21), T.Webb (1), M.Mayers (1-L), D.Leone (0), J.Brebbia (1)",2019
17,Apr 16,@,MIL,"L,4-8",8.0,12,8,8,0,3,14,3,0,4.56,39,155,107,4,2,0,0,36,2,0,0,0,0,0,0,4,Marty Foster,"J.Flaherty (5-23-L), G.Gallegos (1), R.Helsley (99), T.Webb (0)",2019
18,Apr 17,@,MIL,"W,6-3",9.0,7,3,3,0,2,10,1,0,4.47,34,137,78,1,0,0,0,32,3,0,0,0,0,0,2,4,Nic Lentz,"M.Wacha (5-60-W), J.Gant (2-H), A.Miller (2), J.Hicks (2-Sv)",2019
19,Apr 19,,NYM,"L,4-5",9.0,11,5,4,1,5,8,1,0,4.45,44,160,98,5,1,0,0,37,3,0,0,2,0,1,0,7,Mike Estabrook,"A.Wainwright (5-29-L), G.Gallegos (2), R.Helsley (2), D.Leone (3), T.Webb (2), J.Brebbia (3), J.Gant (1)",2019
20,Apr 20,,NYM,"W,10-2",9.0,4,2,2,0,2,5,0,0,4.32,33,109,81,0,0,0,0,31,0,1,0,0,0,0,0,2,Paul Emmel,"M.Mikolas (5-68-W), G.Gallegos (0)",2019
21,Apr 21,,NYM,"W,6-4",9.0,7,4,4,0,3,12,4,1,4.31,39,161,102,1,0,0,0,35,0,0,0,0,0,1,0,5,Bruce Dreckman,"D.Hudson (5-48-W), J.Brebbia (1-H), A.Miller (3-H), J.Gant (1-H), J.Hicks (3-Sv)",2019
22,Apr 22,,MIL,"W,13-5",9.0,5,5,5,0,1,14,4,0,4.34,34,139,94,0,0,0,0,33,0,0,0,0,0,0,0,4,Jim Reynolds,"J.Flaherty (5-59-W), J.Brebbia (0-H), D.Leone (2), G.Gallegos (1)",2019
